,theta,learning_rate,validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
18,0.07,0.05,0.068,97.9529,98.032,"[10, 25, 102]",57587,86.6,681232,-58.2,877548,-1.9
19,0.07,0.05,0.062,98.1112,98.1013,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
17,0.07,0.05,0.073,97.7057,97.854,"[10, 25, 96]",54581,87.3,640528,-48.8,824292,4.3
18,0.07,0.05,0.061,98.1606,98.1804,"[10, 25, 104]",58589,86.4,694928,-61.4,895492,-4.0
18,0.07,0.05,0.07,97.7749,97.9628,"[10, 25, 97]",55082,87.2,647272,-50.4,833108,3.2
19,0.09,0.05,0.053,98.3584,98.2595,"[10, 22, 66]",39398,90.8,437920,-1.7,561030,34.8
19,0.09,0.05,0.062,98.1705,98.121,"[10, 25, 64]",38549,91.0,433168,-0.6,554852,35.6
18,0.09,0.05,0.053,98.3485,98.0518,"[10, 19, 69]",40748,90.5,449176,-4.3,575664,33.1
18,0.09,0.05,0.044,98.5067,98.5364,"[10, 23, 62]",37445,91.3,415584,3.5,532176,38.2
16,0.09,0.05,0.053,98.2991,97.8343,"[10, 22, 65]",38897,91.0,431672,-0.3,552958,35.8
16,0.11,0.05,0.065,98.1507,98.2199,"[10, 20, 47]",29777,93.1,316872,26.4,405258,52.9
19,0.11,0.05,0.073,97.7848,97.5574,"[10, 20, 40]",26270,93.9,275600,36.0,352450,59.1
17,0.11,0.05,0.062,98.0815,98.0914,"[10, 22, 50]",31382,92.7,339872,21.1,434758,49.5
15,0.11,0.05,0.05,98.4672,98.4771,"[9, 18, 48]",30155,93.0,317492,26.3,406033,52.8
16,0.11,0.05,0.048,98.4573,98.7144,"[10, 20, 48]",30278,93.0,322832,25.0,412898,52.0
19,0.13,0.05,0.059,98.121,98.1804,"[9, 19, 34]",23192,94.6,238004,44.7,304451,64.6
13,0.13,0.05,0.079,97.5475,97.498,"[10, 20, 37]",24767,94.2,258152,40.0,330178,61.7
15,0.13,0.05,0.059,98.1903,98.2595,"[9, 16, 37]",24542,94.3,247868,42.4,316997,63.2
19,0.13,0.05,0.061,98.0222,98.2199,"[10, 17, 36]",24113,94.4,244880,43.1,313220,63.6
18,0.13,0.05,0.064,98.032,97.2013,"[10, 14, 38]",24962,94.2,249120,42.1,318630,63.0
17,0.15,0.05,0.047,98.6155,98.5759,"[9, 16, 28]",20033,95.3,196388,54.4,251477,70.8
18,0.15,0.05,0.058,98.1903,98.4078,"[10, 16, 30]",21056,95.1,208048,51.7,266322,69.1
18,0.15,0.05,0.07,97.8936,97.8837,"[7, 14, 25]",18386,95.7,174020,59.6,223015,74.1
10,0.15,0.05,0.06,98.1408,97.943,"[8, 15, 27]",19460,95.5,187984,56.3,240766,72.0
15,0.15,0.05,0.064,98.0518,97.8837,"[9, 13, 29]",20381,95.3,194748,54.8,249367,71.0
17,0.2,0.05,0.052,98.5265,98.4078,"[8, 8, 15]",13091,97.0,104864,75.6,135536,84.3
19,0.2,0.05,0.09,97.3892,97.587,"[6, 10, 17]",14153,96.7,119880,72.2,154450,82.1
17,0.2,0.05,0.061,98.0914,98.3881,"[8, 10, 17]",14195,96.7,120464,72.0,155236,82.0
17,0.2,0.05,0.061,97.9826,97.9727,"[9, 11, 14]",12764,97.0,106804,75.2,138051,84.0
19,0.2,0.05,0.07,97.7947,98.2199,"[5, 8, 15]",13028,97.0,104012,75.8,134393,84.4
15,0.3,0.05,0.079,97.5672,97.8343,"[4, 6, 8]",9398,97.8,61448,85.7,80792,90.6
11,0.3,0.05,0.084,97.3497,97.6365,"[5, 6, 8]",9419,97.8,61700,85.7,81125,90.6
19,0.3,0.05,0.08,97.4684,97.6563,"[3, 6, 7]",8876,97.9,55892,87.0,73803,91.4
19,0.3,0.05,0.07,97.6859,97.5178,"[4, 5, 7]",8846,97.9,53840,87.5,71230,91.7
14,0.3,0.05,0.102,96.9146,96.608,"[3, 5, 7]",8825,98.0,53604,87.5,70921,91.8
18,0.4,0.05,0.1,96.875,96.5289,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
19,0.4,0.05,0.113,96.5783,96.1333,"[3, 3, 5]",7721,98.2,38484,91.1,51941,94.0
19,0.4,0.05,0.141,95.6784,95.5004,"[3, 3, 4]",7220,98.3,33212,92.3,45333,94.7
19,0.4,0.05,0.102,96.964,97.0629,"[2, 4, 4]",7250,98.3,35248,91.8,47882,94.4
4,0.4,0.05,0.167,94.7686,94.6104,"[2, 2, 5]",7649,98.2,36024,91.6,48846,94.3
18,0.45,0.05,0.22,93.2358,93.3445,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
8,0.45,0.05,0.197,94.0368,93.8192,"[2, 3, 4]",7199,98.3,32992,92.3,45048,94.8
17,0.45,0.05,0.191,93.9873,94.2642,"[3, 3, 3]",6719,98.4,27956,93.5,38749,95.5
10,0.45,0.05,0.186,94.2741,94.3631,"[2, 3, 3]",6698,98.4,27736,93.6,38464,95.5
19,0.45,0.05,0.176,94.7785,94.551,"[2, 2, 3]",6647,98.5,25496,94.1,35654,95.9
