,epoch,theta,learning_rate,train_loss,train_accuracy(%),validation_loss,validation_accuracy(%),test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.09,0.05,0.658,80.0628,0.226,93.127,93.4434,"[10, 25, 63]",38048,91.2,426952,0.8,546828,36.5
1,1,0.09,0.05,0.171,94.7974,0.147,95.3521,95.6883,"[10, 25, 63]",38048,91.2,426952,0.8,546828,36.5
2,2,0.09,0.05,0.188,94.2172,0.121,95.9553,96.1531,"[10, 25, 63]",38048,91.2,426952,0.8,546828,36.5
3,3,0.09,0.05,0.141,95.6954,0.135,95.8169,95.9454,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
4,4,0.09,0.05,0.109,96.4866,0.088,97.3398,97.2805,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
5,5,0.09,0.05,0.078,97.56,0.073,97.7354,97.6167,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
6,6,0.09,0.05,0.072,97.7138,0.09,97.2112,97.2508,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
7,7,0.09,0.05,0.071,97.6962,0.085,97.2903,97.3002,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
8,8,0.09,0.05,0.06,98.0619,0.056,98.2496,98.2199,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
9,9,0.09,0.05,0.053,98.2789,0.075,97.4387,98.032,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
10,10,0.09,0.05,0.05,98.3759,0.063,98.032,98.1013,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
11,11,0.09,0.05,0.047,98.4831,0.059,98.1507,98.3386,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
12,12,0.09,0.05,0.042,98.6401,0.062,98.0617,98.1804,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
13,13,0.09,0.05,0.042,98.6181,0.062,97.8441,98.0617,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
14,14,0.09,0.05,0.042,98.688,0.051,98.3584,98.4078,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
15,15,0.09,0.05,0.037,98.7652,0.049,98.4672,98.5463,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
16,16,0.09,0.05,0.037,98.7552,0.048,98.4869,98.4968,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
17,17,0.09,0.05,0.039,98.7572,0.054,98.2892,98.6155,"[10, 24, 63]",37997,91.2,424360,1.4,543490,36.9
18,18,0.09,0.05,0.032,98.9546,0.044,98.5067,98.5364,"[10, 23, 62]",37445,91.3,415584,3.5,532176,38.2
19,19,0.09,0.05,0.033,98.947,0.046,98.4771,98.5562,"[10, 23, 62]",37445,91.3,415584,3.5,532176,38.2
