,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,Baseline,2,0.05,0.602,82.7667,96.5896,95.718,99.8814,[],430500,0.0,430500,0.0,861000,0.0
1,1,Baseline,2,0.05,0.121,96.3033,99.9184,97.3695,99.9506,[],430500,0.0,430500,0.0,861000,0.0
2,2,Baseline,2,0.05,0.082,97.415,99.9584,97.943,99.9308,[],430500,0.0,430500,0.0,861000,0.0
3,3,Baseline,2,0.05,0.064,98.01,99.9667,98.3584,99.9704,[],430500,0.0,430500,0.0,861000,0.0
4,4,Baseline,2,0.05,0.052,98.3933,99.9767,98.1507,99.9506,[],430500,0.0,430500,0.0,861000,0.0
5,5,Baseline,2,0.05,0.046,98.565,99.985,98.4573,99.9902,[],430500,0.0,430500,0.0,861000,0.0
6,6,Baseline,2,0.05,0.04,98.7733,99.9867,98.665,99.9704,[],430500,0.0,430500,0.0,861000,0.0
7,7,Baseline,2,0.05,0.036,98.8733,99.99,98.7243,99.9902,[],430500,0.0,430500,0.0,861000,0.0
8,8,Baseline,2,0.05,0.032,98.9617,99.995,98.4573,99.9902,[],430500,0.0,430500,0.0,861000,0.0
9,9,Baseline,2,0.05,0.029,99.0783,99.995,98.754,99.9902,[],430500,0.0,430500,0.0,861000,0.0
