,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.0,0.01,2.301,12.566,51.4306,12.6681,51.4339,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
1,1,0.0,0.01,2.284,31.88,72.47,55.9632,86.5209,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
2,2,0.0,0.01,1.617,65.076,92.8645,79.7172,98.3584,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
3,3,0.0,0.01,0.489,86.02,98.8651,88.4494,99.3968,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
4,4,0.0,0.01,0.316,90.614,99.5185,92.0985,99.6836,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
5,5,0.0,0.01,0.246,92.698,99.6823,93.4731,99.7825,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
6,6,0.0,0.01,0.204,93.892,99.7702,94.0862,99.8122,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
7,7,0.0,0.01,0.177,94.738,99.8302,95.1938,99.8122,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
8,8,0.0,0.01,0.156,95.306,99.8761,95.6883,99.8418,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
9,9,0.0,0.01,0.145,95.576,99.8881,95.2136,99.8715,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
