,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,vanilla,0.01,2.292,13.198,57.5176,19.0961,60.3639,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
1,1,vanilla,0.01,2.234,20.202,62.0097,21.1234,63.39,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
2,2,vanilla,0.01,2.096,23.004,69.6395,27.0471,76.6911,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
3,3,vanilla,0.01,1.851,29.648,79.807,31.5961,82.1697,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
4,4,vanilla,0.01,1.714,33.458,84.7522,36.0265,87.1835,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
5,5,vanilla,0.01,1.634,36.17,88.4523,35.8881,89.7844,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
6,6,vanilla,0.01,1.569,38.51,90.6889,38.9339,91.6634,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
7,7,vanilla,0.01,1.494,42.944,92.2263,48.5661,93.1863,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
8,8,vanilla,0.01,1.321,54.046,94.2004,58.0202,95.3916,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
9,9,vanilla,0.01,1.084,62.308,96.469,65.5558,96.9838,"[20, 20, 20]",16460,96.2,84400,80.4,123500,85.7
