,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
-1,0,vanilla,0.01,,,,9.8497,50.3956,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
0,0,vanilla,0.01,2.297,15.6917,56.9352,20.4213,60.898,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
1,1,vanilla,0.01,2.261,20.7467,64.6189,20.6487,72.0629,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
2,2,vanilla,0.01,2.108,24.175,77.5692,22.854,80.36,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
3,3,vanilla,0.01,1.865,28.3783,84.4277,35.5716,88.212,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
4,4,vanilla,0.01,1.68,37.5717,90.3207,42.4743,91.2085,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
5,5,vanilla,0.01,1.572,43.84,92.1658,49.6835,92.9688,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
6,6,vanilla,0.01,1.375,52.5683,94.1276,57.2983,95.4213,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
7,7,vanilla,0.01,1.131,60.4283,96.5407,62.8758,97.5178,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
8,8,vanilla,0.01,0.958,67.105,97.6102,70.5795,97.9727,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
9,9,vanilla,0.01,0.802,73.2517,98.3381,75.3461,98.6848,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
10,10,vanilla,0.01,0.702,76.7733,98.7068,78.2536,98.6947,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
11,11,vanilla,0.01,0.641,78.9933,98.865,79.6183,98.8133,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
12,12,vanilla,0.01,0.594,80.8733,98.9822,81.4972,98.9518,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
13,13,vanilla,0.01,0.555,82.335,99.0039,83.2575,98.9716,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
14,14,vanilla,0.01,0.52,83.6,99.0688,83.4751,98.9913,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
15,15,vanilla,0.01,0.488,84.7317,99.1488,85.0277,99.11,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
16,16,vanilla,0.01,0.457,85.9483,99.2349,86.1452,99.1001,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
17,17,vanilla,0.01,0.429,86.9817,99.2387,87.2725,99.1792,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
18,18,vanilla,0.01,0.403,87.8533,99.2948,87.7967,99.3573,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
19,19,vanilla,0.01,0.379,88.4917,99.3664,88.7757,99.4067,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
