,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
-1,0,0.08,0.01,,,,11.0858,42.2963,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
0,0,0.08,0.01,2.287,25.8217,66.3929,51.6317,87.7472,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
1,1,0.08,0.01,1.272,68.5783,95.6401,84.019,99.0111,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
2,2,0.08,0.01,0.408,87.5533,99.3187,89.4581,99.6144,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
3,3,0.08,0.01,0.294,91.065,99.6419,92.2271,99.7133,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
4,4,0.08,0.01,0.232,92.885,99.7612,93.2951,99.8122,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
5,5,0.08,0.01,0.193,94.0767,99.8179,94.2346,99.8616,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
6,6,0.08,0.01,0.166,94.955,99.8734,95.1543,99.8517,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
7,7,0.08,0.01,0.146,95.51,99.8928,95.5004,99.8814,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
8,8,0.08,0.01,0.132,95.9233,99.8967,95.3422,99.8814,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
9,9,0.08,0.01,0.121,96.3017,99.8984,96.5487,99.9111,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
10,10,0.08,0.01,0.112,96.54,99.93,96.7662,99.9209,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
11,11,0.08,0.01,0.104,96.78,99.93,96.9146,99.9308,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
12,12,0.08,0.01,0.097,97.065,99.9367,96.5388,99.9407,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
13,13,0.08,0.01,0.093,97.1033,99.9417,97.1321,99.9506,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
14,14,0.08,0.01,0.088,97.1983,99.945,97.3596,99.9506,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
15,15,0.08,0.01,0.084,97.31,99.9517,97.1321,99.9506,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
16,16,0.08,0.01,0.08,97.4433,99.955,97.2607,99.9506,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
17,17,0.08,0.01,0.078,97.52,99.9534,96.786,99.9704,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
18,18,0.08,0.01,0.075,97.6467,99.9534,97.5277,99.9407,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
19,19,0.08,0.01,0.072,97.72,99.9634,97.1717,99.9605,"[20, 20, 20]",16460,96.2,84400,80.4,128500,85.1
