,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.0,0,0.05,0.413,87.84,98.5324,96.252,99.9407,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
1,1,0.0,0,0.05,0.099,96.9117,99.945,97.8541,99.9605,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
2,2,0.0,0,0.05,0.069,97.8317,99.9567,98.1409,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
3,3,0.0,0,0.05,0.054,98.2817,99.975,98.1705,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
4,4,0.0,0,0.05,0.046,98.5767,99.9883,98.2398,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
5,5,0.0,0,0.05,0.039,98.7767,99.9867,98.4474,99.9704,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
6,6,0.0,0,0.05,0.034,98.88,99.9917,98.3189,99.9704,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
7,7,0.0,0,0.05,0.032,98.9383,99.9917,98.2793,99.9605,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
8,8,0.0,0,0.05,0.027,99.0983,99.995,98.7837,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
9,9,0.0,0,0.05,0.024,99.1833,99.9967,98.4474,99.9803,"[10, 45, 307]",161312,62.5,1142722,-165.4,1668396,-93.8
