,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,Baseline,1,0.05,0.572,83.4083,97.3048,94.9565,99.8715,[],430500,0.0,430500,0.0,861000,0.0
1,1,Baseline,1,0.05,0.118,96.42,99.9317,97.2508,99.9506,[],430500,0.0,430500,0.0,861000,0.0
2,2,Baseline,1,0.05,0.079,97.5633,99.9484,97.7255,99.9902,[],430500,0.0,430500,0.0,861000,0.0
3,3,Baseline,1,0.05,0.062,98.0533,99.9733,98.1606,99.9902,[],430500,0.0,430500,0.0,861000,0.0
4,4,Baseline,1,0.05,0.052,98.4133,99.9745,97.9826,99.9803,[],430500,0.0,430500,0.0,861000,0.0
5,5,Baseline,1,0.05,0.045,98.62,99.985,98.487,99.9803,[],430500,0.0,430500,0.0,861000,0.0
6,6,Baseline,1,0.05,0.039,98.8267,99.9867,98.5958,99.9803,[],430500,0.0,430500,0.0,861000,0.0
7,7,Baseline,1,0.05,0.035,98.8783,99.9883,98.7738,99.9902,[],430500,0.0,430500,0.0,861000,0.0
8,8,Baseline,1,0.05,0.031,99.0283,99.995,98.6254,99.9902,[],430500,0.0,430500,0.0,861000,0.0
9,9,Baseline,1,0.05,0.028,99.125,99.995,98.5364,99.9902,[],430500,0.0,430500,0.0,861000,0.0
