,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.639,40.5067,88.8555,43.7203,92.1974,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
1,1,0.1,0.05,1.219,55.8863,95.197,59.5332,94.9861,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
2,2,0.1,0.05,1.049,62.6531,96.5046,63.1527,95.3026,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
3,3,0.1,0.05,0.952,66.2464,97.2035,64.8734,96.9442,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
4,4,0.1,0.05,0.93,67.7086,97.1831,64.5866,97.3299,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
5,5,0.1,0.05,0.847,70.3656,97.8265,72.6167,98.0617,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
6,6,0.1,0.05,0.772,73.2445,98.2013,72.0926,97.6266,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
7,7,0.1,0.05,0.742,74.1264,98.2633,73.6847,97.765,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
8,8,0.1,0.05,0.702,75.5095,98.4771,75.89,98.5958,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
9,9,0.1,0.05,0.71,75.4252,98.4515,74.2979,98.3386,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
10,10,0.1,0.05,0.69,76.1149,98.3768,73.7342,97.8145,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
11,11,0.1,0.05,0.671,76.8199,98.4815,70.5499,98.0123,"[66, 74]",3234764,86.3,6516352,72.4,7499808,84.1
12,12,0.1,0.05,0.619,78.5742,98.7348,76.8394,98.4178,"[65, 74]",3230667,86.3,6494824,72.5,7472636,84.2
13,13,0.1,0.05,0.599,79.3031,98.9238,74.4264,98.1507,"[65, 74]",3230667,86.3,6494824,72.5,7472636,84.2
14,14,0.1,0.05,0.579,79.9728,99.0369,79.7864,98.9122,"[65, 74]",3230667,86.3,6494824,72.5,7472636,84.2
15,15,0.1,0.05,0.578,79.8953,98.9047,74.3275,98.1903,"[65, 74]",3230667,86.3,6494824,72.5,7472636,84.2
16,16,0.1,0.05,0.579,80.1982,98.919,78.9656,98.754,"[65, 74]",3230667,86.3,6494824,72.5,7472636,84.2
17,17,0.1,0.05,0.552,81.1257,98.997,81.3786,98.9914,"[65, 74]",3230667,86.3,6494824,72.5,7472636,84.2
18,18,0.1,0.05,0.547,81.1709,99.0449,79.4403,98.9518,"[65, 74]",3230667,86.3,6494824,72.5,7472636,84.2
19,19,0.1,0.05,0.514,82.0069,99.1364,80.6369,99.021,"[65, 74]",3230667,86.3,6494824,72.5,7472636,84.2
20,20,0.1,0.05,0.504,82.3789,99.2735,78.0657,98.9914,"[64, 74]",3226570,86.3,6473312,72.6,7445488,84.2
21,21,0.1,0.05,0.493,82.8888,99.2024,79.4205,98.9221,"[64, 74]",3226570,86.3,6473312,72.6,7445488,84.2
22,22,0.1,0.05,0.476,83.4259,99.3063,80.2907,98.843,"[64, 74]",3226570,86.3,6473312,72.6,7445488,84.2
23,23,0.1,0.05,0.476,83.344,99.3075,79.9347,98.9122,"[64, 74]",3226570,86.3,6473312,72.6,7445488,84.2
24,24,0.1,0.05,0.458,84.0513,99.3494,81.2599,99.1891,"[64, 74]",3226570,86.3,6473312,72.6,7445488,84.2
