,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.902,27.19,82.0812,15.8141,70.1334,"[13, 46, 53, 49, 47, 68, 76]",686880,97.0,5888572,74.7,7432507,84.0
1,1,0.1,0.05,1.793,32.144,85.9455,27.3089,78.8117,"[13, 46, 53, 48, 47, 68, 76]",686623,97.0,5872948,74.8,7412783,84.1
2,2,0.1,0.05,1.706,36.138,88.1674,32.9917,86.5048,"[13, 46, 53, 48, 47, 68, 76]",686623,97.0,5872948,74.8,7412783,84.1
3,3,0.1,0.05,1.664,38.102,88.8727,37.8483,88.8734,"[13, 46, 53, 48, 47, 68, 76]",686623,97.0,5872948,74.8,7412783,84.1
4,4,0.1,0.05,1.602,40.674,89.9836,36.2858,89.4805,"[13, 46, 52, 48, 47, 68, 76]",686238,97.1,5863660,74.8,7400963,84.1
5,5,0.1,0.05,1.594,40.512,90.2274,33.3201,90.3463,"[13, 46, 52, 48, 46, 67, 76]",681884,97.1,5831116,74.9,7359827,84.2
6,6,0.1,0.05,1.583,41.352,90.2933,32.0959,87.7389,"[13, 46, 51, 47, 45, 67, 76]",680985,97.1,5795268,75.1,7314439,84.3
7,7,0.1,0.05,1.561,42.172,90.6929,39.8288,91.0131,"[13, 46, 51, 46, 44, 67, 76]",680471,97.1,5768724,75.2,7280895,84.4
8,8,0.1,0.05,1.547,42.796,90.9027,37.8981,88.3559,"[13, 46, 51, 46, 44, 67, 76]",680471,97.1,5768724,75.2,7280895,84.4
9,9,0.1,0.05,1.548,42.54,90.8448,43.8296,91.7098,"[13, 46, 51, 46, 44, 67, 76]",680471,97.1,5768724,75.2,7280895,84.4
10,10,0.1,0.05,1.554,42.556,90.7489,43.3121,90.7146,"[13, 46, 51, 46, 44, 67, 76]",680471,97.1,5768724,75.2,7280895,84.4
11,11,0.1,0.05,1.573,42.168,90.2633,41.8889,89.59,"[13, 46, 51, 46, 44, 67, 76]",680471,97.1,5768724,75.2,7280895,84.4
12,12,0.1,0.05,1.527,43.868,91.0246,46.3674,92.9439,"[13, 46, 50, 46, 44, 67, 76]",680086,97.1,5759468,75.2,7269123,84.4
13,13,0.1,0.05,1.503,44.796,91.4942,45.4021,91.9188,"[13, 46, 50, 46, 44, 67, 76]",680086,97.1,5759468,75.2,7269123,84.4
14,14,0.1,0.05,1.471,46.14,92.0097,43.9491,90.416,"[13, 46, 50, 46, 44, 67, 76]",680086,97.1,5759468,75.2,7269123,84.4
15,15,0.1,0.05,1.451,46.738,92.3853,46.4072,92.4164,"[13, 46, 50, 46, 42, 67, 76]",679572,97.1,5737612,75.3,7241459,84.4
16,16,0.1,0.05,1.543,43.152,90.8248,29.9562,81.9168,"[13, 46, 50, 46, 42, 67, 76]",679572,97.1,5737612,75.3,7241459,84.4
17,17,0.1,0.05,1.594,41.272,90.0835,46.6859,92.715,"[13, 46, 50, 46, 42, 67, 76]",679572,97.1,5737612,75.3,7241459,84.4
18,18,0.1,0.05,1.555,42.864,90.8248,38.6843,91.5605,"[13, 46, 50, 45, 42, 67, 75]",675218,97.1,5688060,75.5,7179035,84.6
19,19,0.1,0.05,1.486,45.278,91.9357,39.162,91.2719,"[13, 46, 50, 45, 42, 67, 75]",675218,97.1,5688060,75.5,7179035,84.6
