,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.88,27.942,83.0583,22.701,74.3929,"[13, 48, 58, 49, 53, 69, 74]",686636,97.0,5962780,74.4,7527627,83.8
1,1,0.1,0.05,1.735,34.666,87.4281,35.7683,86.8432,"[13, 46, 58, 49, 53, 68, 74]",682153,97.1,5933556,74.5,7490447,83.9
2,2,0.1,0.05,1.7,36.322,88.2213,33.6883,89.3113,"[13, 46, 58, 49, 52, 68, 74]",681896,97.1,5922476,74.5,7476387,83.9
3,3,0.1,0.05,1.623,39.602,89.8477,28.8913,80.8618,"[13, 45, 58, 49, 52, 68, 74]",681703,97.1,5918676,74.6,7471455,83.9
4,4,0.1,0.05,1.681,37.686,88.3792,36.863,87.3806,"[13, 45, 58, 49, 52, 68, 74]",681703,97.1,5918676,74.6,7471455,83.9
5,5,0.1,0.05,1.658,38.488,89.0585,38.1469,88.117,"[13, 45, 57, 49, 51, 68, 74]",681061,97.1,5898244,74.6,7445479,84.0
6,6,0.1,0.05,1.641,38.978,89.3043,27.1596,79.6576,"[13, 43, 57, 49, 51, 68, 74]",680675,97.1,5890692,74.7,7435687,84.0
7,7,0.1,0.05,1.645,38.41,89.2923,39.2814,89.8587,"[13, 43, 57, 49, 51, 68, 74]",680675,97.1,5890692,74.7,7435687,84.0
8,8,0.1,0.05,1.698,36.978,88.0974,41.4909,89.5402,"[13, 43, 56, 49, 51, 68, 74]",680290,97.1,5881340,74.7,7423771,84.0
9,9,0.1,0.05,1.632,39.572,89.3262,27.8961,87.4403,"[13, 42, 56, 49, 50, 68, 74]",679840,97.1,5866540,74.8,7404899,84.1
10,10,0.1,0.05,1.683,37.254,88.525,37.291,87.1517,"[13, 42, 56, 49, 50, 68, 74]",679840,97.1,5866540,74.8,7404899,84.1
