,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.923,25.04,81.1881,30.0557,85.5792,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 26, 32, 27, 23, 28, 30, 28, 26]",20011,92.8,631448,-128.3,806612,-45.8
1,1,0.1,0.05,1.73,32.414,88.2113,33.4295,89.789,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 26, 32, 27, 23, 28, 30, 28, 26]",20011,92.8,631448,-128.3,806612,-45.8
2,2,0.1,0.05,1.663,35.06,89.8298,30.3543,85.8877,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 25, 32, 27, 23, 28, 30, 27, 26]",19881,92.8,628680,-127.3,802940,-45.2
3,3,0.1,0.05,1.595,38.298,91.1645,23.965,81.8471,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 25, 32, 27, 23, 28, 30, 27, 26]",19881,92.8,628680,-127.3,802940,-45.2
4,4,0.1,0.05,1.576,39.948,90.9507,24.801,77.717,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 25, 32, 27, 23, 28, 30, 27, 26]",19881,92.8,628680,-127.3,802940,-45.2
5,5,0.1,0.05,1.55,41.08,91.4822,28.0255,79.8069,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 25, 32, 27, 23, 27, 30, 26, 26]",19751,92.9,624744,-125.9,797804,-44.3
6,6,0.1,0.05,1.531,41.318,91.5141,40.7942,88.2166,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 24, 32, 27, 23, 27, 30, 26, 26]",19686,92.9,622944,-125.3,795456,-43.8
7,7,0.1,0.05,1.455,45.358,92.8549,34.0665,83.4992,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 23, 32, 27, 23, 27, 30, 25, 26]",19556,92.9,620240,-124.3,791880,-43.2
8,8,0.1,0.05,1.441,46.086,92.8609,43.342,94.0883,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 23, 32, 27, 23, 27, 30, 25, 26]",19556,92.9,620240,-124.3,791880,-43.2
9,9,0.1,0.05,1.437,46.066,92.741,31.3197,82.8523,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 15, 16, 23, 32, 27, 22, 27, 30, 25, 26]",19491,93.0,617320,-123.2,788140,-42.5
