,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.897,25.636,82.9564,27.3985,81.5386,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 32, 29, 32, 29, 27]",21344,92.3,683264,-147.1,873680,-58.0
1,1,0.1,0.05,1.712,33.53,88.2972,27.3288,83.8276,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 32, 29, 32, 27, 27]",21214,92.3,681344,-146.4,871056,-57.5
2,2,0.1,0.05,1.61,38.81,90.4052,33.5589,86.5247,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 32, 29, 32, 27, 27]",21214,92.3,681344,-146.4,871056,-57.5
3,3,0.1,0.05,1.531,41.918,91.5401,39.5203,88.8336,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 32, 28, 32, 26, 27]",21084,92.4,677392,-145.0,865896,-56.6
4,4,0.1,0.05,1.492,43.686,92.2335,39.7293,91.7994,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 28, 32, 26, 27]",21019,92.4,674328,-143.9,861940,-55.9
5,5,0.1,0.05,1.435,46.268,92.9488,32.4144,74.5621,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 28, 32, 26, 27]",21019,92.4,674328,-143.9,861940,-55.9
6,6,0.1,0.05,1.47,44.772,92.3453,36.4152,86.883,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 27, 32, 25, 27]",20889,92.4,670408,-142.4,856828,-54.9
7,7,0.1,0.05,1.383,48.814,93.3684,38.3161,88.8933,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 27, 32, 23, 26]",20694,92.5,667680,-141.5,853120,-54.3
8,8,0.1,0.05,1.41,48.472,92.755,48.6465,93.0633,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 27, 32, 23, 26]",20694,92.5,667680,-141.5,853120,-54.3
9,9,0.1,0.05,1.412,48.302,92.737,43.5211,92.4263,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 27, 32, 23, 26]",20694,92.5,667680,-141.5,853120,-54.3
10,10,0.1,0.05,1.364,50.238,93.2565,46.8053,89.7392,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 27, 32, 23, 25]",20629,92.5,666760,-141.1,851868,-54.0
11,11,0.1,0.05,1.346,51.062,93.6561,51.3236,92.2969,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 27, 31, 23, 25]",20564,92.6,663696,-140.0,847912,-53.3
12,12,0.1,0.05,1.345,51.062,93.6261,36.7138,83.8774,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 27, 31, 23, 25]",20564,92.6,663696,-140.0,847912,-53.3
13,13,0.1,0.05,1.402,48.69,93.0327,43.4912,91.6301,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 31, 30, 30, 31, 27, 30, 23, 25]",20499,92.6,660648,-138.9,843980,-52.6
14,14,0.1,0.05,1.335,51.496,93.748,44.2377,91.1425,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 30, 30, 30, 31, 26, 30, 23, 25]",20369,92.6,655768,-137.1,837652,-51.5
15,15,0.1,0.05,1.264,54.78,94.3594,47.7209,91.1326,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 30, 30, 30, 29, 26, 30, 23, 25]",20239,92.7,649688,-134.9,829812,-50.0
16,16,0.1,0.05,1.297,53.228,93.9918,44.6955,90.7842,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 30, 30, 30, 29, 26, 29, 23, 25]",20174,92.7,646656,-133.8,825904,-49.3
17,17,0.1,0.05,1.329,51.808,93.6341,50.4379,93.5509,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 30, 30, 30, 29, 26, 29, 23, 25]",20174,92.7,646656,-133.8,825904,-49.3
18,18,0.1,0.05,1.328,51.25,93.8759,52.0999,95.3424,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 29, 30, 29, 29, 26, 29, 23, 25]",20044,92.8,641744,-132.1,819528,-48.2
19,19,0.1,0.05,1.291,53.328,94.2036,38.2166,88.3459,"[8, 8, 8, 8, 8, 8, 16, 16, 16, 16, 16, 16, 29, 30, 29, 29, 26, 28, 23, 25]",19979,92.8,638728,-131.0,815644,-47.5
