,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.916,24.552,81.1621,29.996,87.5398,"[13, 32, 33, 47, 55, 43, 55, 57, 60, 65, 64, 61, 55, 59, 74]",828357,97.5,12525556,62.8,15777359,76.5
1,1,0.1,0.05,1.665,36.688,88.7568,26.3336,73.8256,"[13, 32, 33, 47, 54, 43, 55, 56, 60, 65, 64, 61, 55, 59, 74]",827587,97.5,12506884,62.8,15753575,76.6
2,2,0.1,0.05,1.568,40.904,90.4751,37.928,90.6449,"[13, 31, 33, 46, 53, 43, 55, 55, 60, 65, 64, 61, 55, 59, 74]",826623,97.5,12479316,62.9,15718367,76.6
3,3,0.1,0.05,1.524,43.152,91.4742,31.7377,88.0573,"[13, 31, 33, 45, 53, 43, 54, 55, 60, 65, 64, 61, 55, 59, 74]",826237,97.5,12462356,62.9,15696767,76.7
4,4,0.1,0.05,1.538,43.084,91.0046,25.0597,73.0494,"[13, 30, 33, 45, 52, 43, 54, 55, 60, 65, 64, 61, 55, 59, 74]",825915,97.5,12452836,63.0,15684535,76.7
5,5,0.1,0.05,1.443,47.266,92.5152,31.3595,83.9868,"[13, 29, 33, 45, 52, 43, 54, 55, 60, 65, 64, 61, 54, 58, 74]",821240,97.6,12409084,63.1,15629275,76.8
6,6,0.1,0.05,1.434,47.838,92.5312,36.5944,88.6047,"[13, 29, 33, 45, 52, 43, 53, 55, 60, 64, 64, 61, 54, 58, 74]",820470,97.6,12376476,63.2,15588043,76.8
7,7,0.1,0.05,1.441,47.704,92.3074,37.301,87.4403,"[13, 29, 33, 45, 52, 43, 53, 55, 60, 64, 64, 61, 54, 58, 74]",820470,97.6,12376476,63.2,15588043,76.8
8,8,0.1,0.05,1.417,48.396,92.659,25.6668,81.9267,"[13, 29, 33, 44, 51, 43, 53, 55, 60, 64, 63, 61, 54, 58, 74]",819571,97.6,12342692,63.3,15545175,76.9
9,9,0.1,0.05,1.348,51.412,93.4443,44.2476,89.58,"[13, 28, 33, 44, 50, 43, 53, 55, 60, 63, 63, 61, 53, 58, 74]",818223,97.6,12290404,63.4,15479031,77.0
10,10,0.1,0.05,1.337,51.66,93.778,34.5541,88.5151,"[13, 28, 33, 44, 50, 43, 52, 55, 60, 63, 63, 61, 53, 58, 74]",817966,97.6,12279324,63.5,15464971,77.0
11,11,0.1,0.05,1.335,51.86,93.8499,37.6493,85.9773,"[13, 28, 32, 44, 50, 42, 52, 55, 60, 63, 63, 61, 53, 58, 74]",817580,97.6,12265068,63.5,15446851,77.0
12,12,0.1,0.05,1.308,52.908,93.8999,38.336,77.0601,"[13, 27, 32, 43, 49, 42, 51, 55, 60, 63, 63, 61, 53, 58, 74]",816872,97.6,12238764,63.6,15413283,77.1
13,13,0.1,0.05,1.348,52.018,93.0986,40.0677,86.3953,"[13, 27, 32, 43, 49, 42, 51, 54, 59, 63, 63, 61, 53, 58, 74]",815846,97.6,12205196,63.7,15370867,77.1
14,14,0.1,0.05,1.278,54.44,94.1336,35.3702,81.8172,"[13, 27, 32, 43, 49, 42, 51, 54, 59, 63, 63, 61, 53, 58, 74]",815846,97.6,12205196,63.7,15370867,77.1
15,15,0.1,0.05,1.331,52.592,93.5162,37.5697,83.3997,"[13, 26, 31, 43, 49, 42, 51, 54, 59, 63, 63, 61, 53, 58, 74]",815652,97.6,12198892,63.7,15362755,77.2
16,16,0.1,0.05,1.218,56.526,94.821,54.1003,94.5263,"[13, 26, 31, 43, 49, 41, 51, 54, 59, 63, 62, 61, 53, 58, 74]",814882,97.6,12166508,63.8,15321859,77.2
17,17,0.1,0.05,1.27,54.506,94.1596,42.2174,90.5653,"[13, 26, 29, 43, 47, 41, 51, 54, 59, 63, 62, 61, 52, 58, 74]",813597,97.6,12125796,63.9,15270135,77.3
