,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,1.9,25.02,81.9533,26.0848,81.1505,"[13, 29, 36, 40, 48, 52, 53, 59, 54, 57, 62, 63, 66, 64, 74]",847618,97.5,12574764,62.6,15838563,76.4
1,1,0.1,0.05,1.696,34.436,88.4871,27.7667,81.877,"[13, 28, 35, 40, 48, 52, 53, 59, 54, 57, 62, 63, 66, 64, 74]",847424,97.5,12568364,62.6,15830307,76.5
2,2,0.1,0.05,1.618,38.762,89.7638,25.4279,76.5824,"[13, 28, 34, 40, 48, 51, 53, 58, 54, 57, 62, 63, 66, 64, 74]",846525,97.5,12541732,62.7,15796439,76.5
3,3,0.1,0.05,1.593,40.666,90.1794,14.9084,65.2866,"[13, 27, 34, 40, 48, 51, 53, 58, 54, 57, 62, 63, 66, 64, 74]",846460,97.5,12538732,62.7,15792579,76.5
4,4,0.1,0.05,1.583,41.306,90.2114,23.5072,77.7269,"[13, 27, 34, 39, 46, 50, 53, 58, 54, 57, 61, 63, 66, 64, 74]",845047,97.5,12487700,62.9,15727807,76.6
5,5,0.1,0.05,1.465,46.596,91.9317,39.5502,91.8392,"[13, 27, 34, 39, 46, 50, 53, 58, 54, 57, 61, 62, 66, 63, 74]",840437,97.5,12446772,63.0,15676143,76.7
6,6,0.1,0.05,1.437,47.978,92.2155,46.2978,91.6003,"[13, 26, 34, 39, 46, 49, 53, 58, 54, 57, 61, 62, 65, 63, 74]",839602,97.5,12411228,63.1,15631147,76.8
7,7,0.1,0.05,1.414,48.996,92.5951,23.4076,74.9005,"[13, 26, 34, 38, 45, 49, 53, 58, 54, 57, 60, 62, 65, 62, 74]",834606,97.5,12358252,63.2,15564099,76.9
8,8,0.1,0.05,1.442,48.126,92.3354,35.0119,85.6986,"[13, 26, 34, 38, 45, 49, 53, 58, 54, 56, 60, 62, 65, 62, 74]",834093,97.5,12336868,63.3,15537143,76.9
9,9,0.1,0.05,1.396,49.542,92.8429,21.3376,68.0533,"[13, 26, 34, 38, 45, 49, 53, 58, 53, 56, 60, 62, 65, 62, 74]",833580,97.5,12315532,63.4,15510259,76.9
10,10,0.1,0.05,1.368,50.722,93.1885,35.0816,86.027,"[13, 26, 34, 38, 44, 48, 53, 57, 53, 56, 60, 62, 65, 62, 74]",832553,97.5,12285988,63.5,15472727,77.0
11,11,0.1,0.05,1.366,50.93,93.2405,38.2962,85.2209,"[13, 26, 34, 38, 44, 48, 52, 57, 53, 56, 60, 62, 64, 62, 74]",831783,97.5,12253396,63.6,15431519,77.1
12,12,0.1,0.05,1.395,50.006,92.747,37.4005,87.1417,"[13, 26, 34, 38, 44, 48, 52, 57, 53, 56, 60, 62, 64, 61, 74]",827686,97.5,12233980,63.6,15407003,77.1
13,13,0.1,0.05,1.465,47.114,91.9557,31.5386,83.3599,"[13, 26, 34, 38, 44, 48, 52, 57, 53, 56, 60, 61, 64, 61, 74]",827173,97.5,12212516,63.7,15379927,77.1
14,14,0.1,0.05,1.358,51.322,93.3564,31.7974,86.8133,"[13, 26, 34, 38, 44, 48, 52, 57, 53, 56, 60, 61, 64, 61, 74]",827173,97.5,12212516,63.7,15379927,77.1
15,15,0.1,0.05,1.374,50.53,93.3004,39.0326,90.1871,"[13, 26, 34, 38, 44, 48, 51, 57, 53, 56, 60, 61, 63, 61, 74]",826403,97.5,12179956,63.8,15338767,77.2
16,16,0.1,0.05,1.368,50.778,93.3504,38.7838,89.4705,"[13, 26, 34, 38, 43, 48, 51, 57, 53, 55, 60, 61, 63, 61, 74]",825633,97.5,12152260,63.9,15303751,77.2
17,17,0.1,0.05,1.405,49.616,92.9628,38.5649,89.7392,"[13, 25, 34, 38, 43, 48, 51, 57, 52, 55, 60, 61, 63, 61, 74]",825055,97.5,12127972,63.9,15273079,77.3
18,18,0.1,0.05,1.375,50.574,92.9588,35.2608,85.5593,"[13, 25, 34, 38, 43, 47, 51, 57, 52, 55, 60, 61, 62, 61, 74]",824285,97.5,12095492,64.0,15232039,77.4
19,19,0.1,0.05,1.331,52.27,93.74,32.5438,79.3193,"[13, 25, 34, 38, 43, 47, 51, 57, 52, 55, 60, 61, 62, 61, 74]",824285,97.5,12095492,64.0,15232039,77.4
