,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.0,0.05,3.768,11.394,34.006,18.1201,46.45,[],23632704,0.0,23632704,0.0,47265408,0.0
1,1,0.0,0.05,3.198,20.932,50.878,28.13,59.6399,[],23632704,0.0,23632704,0.0,47265408,0.0
2,2,0.0,0.05,2.893,26.752,58.546,31.99,64.6899,[],23632704,0.0,23632704,0.0,47265408,0.0
3,3,0.0,0.05,2.65,31.55,64.412,36.25,68.7899,[],23632704,0.0,23632704,0.0,47265408,0.0
4,4,0.0,0.05,2.475,35.13,68.022,39.62,71.8399,[],23632704,0.0,23632704,0.0,47265408,0.0
5,5,0.0,0.05,2.323,38.122,71.314,42.04,72.8699,[],23632704,0.0,23632704,0.0,47265408,0.0
6,6,0.0,0.05,2.191,41.536,74.074,42.84,75.65,[],23632704,0.0,23632704,0.0,47265408,0.0
7,7,0.0,0.05,2.068,43.812,76.438,44.67,76.89,[],23632704,0.0,23632704,0.0,47265408,0.0
8,8,0.0,0.05,1.974,46.218,78.082,46.8101,77.86,[],23632704,0.0,23632704,0.0,47265408,0.0
9,9,0.0,0.05,1.882,48.072,80.178,46.67,77.2799,[],23632704,0.0,23632704,0.0,47265408,0.0
10,10,0.0,0.05,1.795,50.23,81.46,48.83,78.8599,[],23632704,0.0,23632704,0.0,47265408,0.0
11,11,0.0,0.05,1.712,52.192,82.934,49.45,79.2099,[],23632704,0.0,23632704,0.0,47265408,0.0
12,12,0.0,0.05,1.637,53.724,84.334,51.03,79.62,[],23632704,0.0,23632704,0.0,47265408,0.0
13,13,0.0,0.05,1.562,55.404,85.746,50.34,79.65,[],23632704,0.0,23632704,0.0,47265408,0.0
14,14,0.0,0.05,1.498,57.134,86.836,50.88,80.07,[],23632704,0.0,23632704,0.0,47265408,0.0
15,15,0.0,0.05,1.429,58.69,87.944,52.13,80.82,[],23632704,0.0,23632704,0.0,47265408,0.0
16,16,0.0,0.05,1.355,60.52,89.146,52.2,80.4599,[],23632704,0.0,23632704,0.0,47265408,0.0
17,17,0.0,0.05,1.288,62.382,89.902,52.8,81.11,[],23632704,0.0,23632704,0.0,47265408,0.0
18,18,0.0,0.05,1.227,63.636,91.11,52.58,80.92,[],23632704,0.0,23632704,0.0,47265408,0.0
19,19,0.0,0.05,1.164,65.492,91.944,53.29,81.63,[],23632704,0.0,23632704,0.0,47265408,0.0
20,20,0.0,0.05,1.099,66.692,93.018,52.42,80.15,[],23632704,0.0,23632704,0.0,47265408,0.0
21,21,0.0,0.05,1.044,68.406,93.732,53.36,81.1701,[],23632704,0.0,23632704,0.0,47265408,0.0
22,22,0.0,0.05,0.975,69.992,94.634,52.63,80.28,[],23632704,0.0,23632704,0.0,47265408,0.0
23,23,0.0,0.05,0.923,71.45,95.15,53.16,80.82,[],23632704,0.0,23632704,0.0,47265408,0.0
24,24,0.0,0.05,0.86,73.252,95.846,53.05,80.25,[],23632704,0.0,23632704,0.0,47265408,0.0
25,25,0.0,0.05,0.815,74.53,96.408,53.04,80.43,[],23632704,0.0,23632704,0.0,47265408,0.0
26,26,0.0,0.05,0.766,76.034,96.834,52.69,80.34,[],23632704,0.0,23632704,0.0,47265408,0.0
27,27,0.0,0.05,0.722,77.508,97.312,52.44,80.1,[],23632704,0.0,23632704,0.0,47265408,0.0
28,28,0.0,0.05,0.68,78.506,97.63,52.45,79.76,[],23632704,0.0,23632704,0.0,47265408,0.0
29,29,0.0,0.05,0.634,79.978,97.888,52.9,79.99,[],23632704,0.0,23632704,0.0,47265408,0.0
30,30,0.0,0.05,0.593,81.196,98.3,52.17,80.16,[],23632704,0.0,23632704,0.0,47265408,0.0
31,31,0.0,0.05,0.545,82.858,98.562,53.34,80.2,[],23632704,0.0,23632704,0.0,47265408,0.0
32,32,0.0,0.05,0.526,83.23,98.698,52.8,80.03,[],23632704,0.0,23632704,0.0,47265408,0.0
33,33,0.0,0.05,0.483,84.534,98.884,52.36,79.52,[],23632704,0.0,23632704,0.0,47265408,0.0
34,34,0.0,0.05,0.457,85.382,99.044,53.25,79.98,[],23632704,0.0,23632704,0.0,47265408,0.0
35,35,0.0,0.05,0.442,85.894,99.08,53.04,79.22,[],23632704,0.0,23632704,0.0,47265408,0.0
36,36,0.0,0.05,0.411,86.906,99.254,52.95,79.75,[],23632704,0.0,23632704,0.0,47265408,0.0
37,37,0.0,0.05,0.397,87.346,99.278,53.02,79.47,[],23632704,0.0,23632704,0.0,47265408,0.0
38,38,0.0,0.05,0.363,88.396,99.41,52.71,79.2499,[],23632704,0.0,23632704,0.0,47265408,0.0
39,39,0.0,0.05,0.349,88.808,99.4,53.35,79.88,[],23632704,0.0,23632704,0.0,47265408,0.0
