,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.08,0.05,4.034,6.774,25.034,8.84,33.22,"[100, 112]",3529748,85.1,8559552,63.8,12740416,73.0
1,1,0.08,0.05,3.964,7.118,26.394,9.15,31.48,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
2,2,0.08,0.05,3.782,9.132,31.79,10.86,36.74,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
3,3,0.08,0.05,3.765,9.33,31.694,10.27,35.34,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
4,4,0.08,0.05,3.595,11.426,36.982,16.2001,45.14,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
5,5,0.08,0.05,3.343,15.78,44.916,19.8901,50.92,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
6,6,0.08,0.05,3.189,18.974,49.52,21.2401,53.8,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
7,7,0.08,0.05,3.081,21.144,52.524,23.85,57.18,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
8,8,0.08,0.05,2.983,22.79,55.046,26.42,59.83,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
9,9,0.08,0.05,2.87,25.222,57.868,28.67,62.4999,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
10,10,0.08,0.05,3.148,19.724,50.44,26.56,60.2499,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
11,11,0.08,0.05,2.843,25.758,58.836,29.64,64.2799,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
12,12,0.08,0.05,2.726,28.286,61.932,30.11,64.55,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
13,13,0.08,0.05,2.655,29.84,63.36,30.33,65.64,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
14,14,0.08,0.05,2.667,29.424,63.016,32.35,66.8199,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
15,15,0.08,0.05,2.566,31.976,65.426,33.55,66.89,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
16,16,0.08,0.05,2.57,31.326,65.132,35.2,67.8999,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
17,17,0.08,0.05,2.56,32.002,65.138,35.14,68.7499,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
18,18,0.08,0.05,2.487,33.582,67.078,35.88,67.7199,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
19,19,0.08,0.05,2.608,31.016,64.004,36.87,69.4699,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
20,20,0.08,0.05,2.459,34.228,67.492,29.7,63.0699,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
21,21,0.08,0.05,2.638,30.336,62.952,18.5601,50.36,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
22,22,0.08,0.05,2.511,32.814,66.528,37.91,70.5899,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
23,23,0.08,0.05,2.712,28.276,61.598,37.93,71.0099,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
24,24,0.08,0.05,2.44,34.498,68.0,36.07,69.9699,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
25,25,0.08,0.05,2.469,33.606,67.506,37.9,70.4799,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
26,26,0.08,0.05,2.414,35.198,68.538,8.28,29.56,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
27,27,0.08,0.05,2.451,33.942,67.6,40.23,71.7099,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
28,28,0.08,0.05,2.238,39.508,72.27,40.92,72.5899,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
29,29,0.08,0.05,2.441,34.27,67.344,38.74,70.5899,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
30,30,0.08,0.05,2.453,34.348,67.594,39.34,70.96,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
31,31,0.08,0.05,2.37,35.982,69.488,40.37,72.0699,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
32,32,0.08,0.05,2.19,40.39,73.296,42.46,72.5799,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
33,33,0.08,0.05,2.243,39.054,72.116,37.24,69.1499,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
34,34,0.08,0.05,2.385,35.436,68.564,39.53,71.01,"[99, 112]",3525651,85.1,8537480,63.9,12712428,73.1
35,35,0.08,0.05,2.259,38.58,71.842,39.55,70.8799,"[99, 111]",3521554,85.1,8502928,64.0,12668792,73.2
36,36,0.08,0.05,2.187,40.626,73.166,41.82,72.5799,"[99, 111]",3521554,85.1,8502928,64.0,12668792,73.2
37,37,0.08,0.05,2.158,41.578,73.712,41.99,72.8,"[99, 111]",3521554,85.1,8502928,64.0,12668792,73.2
38,38,0.08,0.05,2.112,42.484,74.622,42.33,73.4399,"[99, 111]",3521554,85.1,8502928,64.0,12668792,73.2
39,39,0.08,0.05,2.088,43.176,75.02,42.2,73.2999,"[99, 111]",3521554,85.1,8502928,64.0,12668792,73.2
