,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.08,0.05,3.98,7.8369,26.6808,9.0981,30.8742,"[101, 112]",3533845,85.0,8581640,63.7,10107244,78.6
1,1,0.08,0.05,3.49,14.3862,41.3347,13.746,39.112,"[100, 112]",3529748,85.1,8559552,63.8,10079232,78.7
2,2,0.08,0.05,3.223,19.2571,49.3586,18.2061,46.4201,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
3,3,0.08,0.05,2.968,24.0397,55.9775,17.6325,46.5585,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
4,4,0.08,0.05,2.86,26.3351,58.9214,27.947,61.432,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
5,5,0.08,0.05,2.68,29.785,63.083,29.7271,62.9055,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
6,6,0.08,0.05,2.588,31.8446,65.2721,31.1808,66.0107,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
7,7,0.08,0.05,2.56,32.4484,66.0426,25.6329,57.8323,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
8,8,0.08,0.05,2.46,34.4457,68.0123,34.1278,67.9589,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
9,9,0.08,0.05,2.53,33.1478,66.885,32.9707,66.2876,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
10,10,0.08,0.05,2.463,34.164,68.1094,30.7654,62.7472,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
11,11,0.08,0.05,2.376,36.2828,69.8138,34.2168,67.4446,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
12,12,0.08,0.05,2.372,36.3079,69.958,26.79,60.3936,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
13,13,0.08,0.05,2.295,37.7002,71.7447,30.5182,62.5,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
14,14,0.08,0.05,2.242,39.2567,72.5895,39.9525,71.4201,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
15,15,0.08,0.05,2.296,37.6519,71.4938,38.3406,70.3916,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
16,16,0.08,0.05,2.247,38.8343,72.4469,39.5174,70.629,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
17,17,0.08,0.05,2.202,39.8206,73.3588,38.5087,71.9838,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
18,18,0.08,0.05,2.103,42.287,75.4616,40.9316,73.4573,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
19,19,0.08,0.05,2.092,42.1963,75.46,35.6309,69.1456,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
20,20,0.08,0.05,2.066,42.9995,76.0622,41.0799,73.21,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
21,21,0.08,0.05,2.018,44.2599,76.7144,41.4755,73.0123,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
22,22,0.08,0.05,1.945,45.874,78.1018,42.4051,74.7627,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
23,23,0.08,0.05,1.941,46.2772,78.6253,44.5906,75.7417,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
24,24,0.08,0.05,2.064,43.0778,75.9719,34.5036,69.6301,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
25,25,0.08,0.05,2.242,38.29,72.5595,33.6926,66.7029,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
26,26,0.08,0.05,2.123,41.3143,74.6248,39.2801,71.519,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
27,27,0.08,0.05,2.458,33.0603,67.7645,32.7729,65.1602,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
28,28,0.08,0.05,2.212,38.8903,72.9008,39.2306,71.4695,"[99, 112]",3525651,85.1,8537480,63.9,10051244,78.7
