,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,4.127,5.47,20.868,7.295,24.5223,"[59, 71]",15656898,53.9,18606480,45.3,34618360,49.1
1,1,0.1,0.05,3.576,12.538,38.8707,10.7484,37.2014,"[59, 71]",15656898,53.9,18606480,45.3,34618360,49.1
2,2,0.1,0.05,3.227,18.032,48.4555,8.3897,26.1744,"[59, 71]",15656898,53.9,18606480,45.3,34618360,49.1
3,3,0.1,0.05,2.944,23.33,56.7515,16.8093,46.3873,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
4,4,0.1,0.05,2.716,27.822,62.7877,20.412,51.672,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
5,5,0.1,0.05,2.507,32.552,67.4552,16.242,40.9037,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
6,6,0.1,0.05,2.358,35.618,70.6901,25.9056,54.9263,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
7,7,0.1,0.05,2.211,39.62,73.6293,27.508,59.5442,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
8,8,0.1,0.05,2.209,39.474,73.8031,35.6588,68.8794,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
9,9,0.1,0.05,2.044,43.32,77.1779,33.6983,65.1771,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
10,10,0.1,0.05,1.954,45.66,78.8403,32.9817,65.6549,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
11,11,0.1,0.05,1.833,49.154,80.7745,37.9777,67.9936,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
12,12,0.1,0.05,1.862,48.126,80.225,46.6859,78.2245,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
13,13,0.1,0.05,1.721,51.674,82.4848,45.8897,75.7763,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
14,14,0.1,0.05,1.648,53.7,83.5518,46.8451,77.4383,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
15,15,0.1,0.05,1.968,45.604,77.4696,37.3806,71.1983,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
16,16,0.1,0.05,1.65,53.56,83.5678,34.0963,62.7289,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
17,17,0.1,0.05,1.573,55.684,84.9884,40.834,72.2034,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
18,18,0.1,0.05,1.489,57.674,86.1393,50.4478,79.4884,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
19,19,0.1,0.05,2.079,41.592,75.4276,33.0812,69.2178,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
20,20,0.1,0.05,1.866,46.58,80.3269,13.7938,42.7946,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
21,21,0.1,0.05,1.925,46.058,78.4507,39.1322,71.9546,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
22,22,0.1,0.05,1.69,52.256,82.8345,48.1987,75.6469,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
23,23,0.1,0.05,1.416,59.038,87.3362,44.5263,72.701,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
24,24,0.1,0.05,1.363,60.76,88.2313,46.3575,76.8312,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
25,25,0.1,0.05,1.282,63.092,89.3003,51.7118,78.9411,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
26,26,0.1,0.05,1.215,64.902,90.1095,48.0991,76.5824,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
27,27,0.1,0.05,1.166,65.964,90.677,57.8921,82.5736,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
28,28,0.1,0.05,1.118,67.256,91.3743,53.0255,80.5135,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
29,29,0.1,0.05,1.098,67.82,91.5821,51.3734,78.2743,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
30,30,0.1,0.05,1.052,68.954,92.2494,44.8248,72.1039,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
31,31,0.1,0.05,1.023,69.996,92.5851,50.6767,77.6473,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
32,32,0.1,0.05,0.982,71.166,92.9648,53.951,79.0605,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
33,33,0.1,0.05,0.938,72.33,93.5262,48.1588,76.035,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
34,34,0.1,0.05,0.965,71.554,93.3524,53.8714,80.5533,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
35,35,0.1,0.05,0.916,72.968,93.8159,47.8404,74.4526,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
36,36,0.1,0.05,0.855,74.576,94.3674,59.9622,83.3798,"[57, 71]",15648704,54.0,18567760,45.4,34569496,49.2
37,37,0.1,0.05,0.827,75.242,94.6871,55.5633,80.1652,"[56, 71]",15644607,54.0,18548424,45.4,34545100,49.2
38,38,0.1,0.05,0.786,76.478,95.3085,55.832,81.1604,"[56, 71]",15644607,54.0,18548424,45.4,34545100,49.2
39,39,0.1,0.05,0.772,76.768,95.3505,52.6971,78.6624,"[56, 71]",15644607,54.0,18548424,45.4,34545100,49.2
