,epoch,theta,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.1,0.05,4.127,5.47,20.868,7.295,24.5223,"[59, 71]",15656898,53.9,18606480,45.3,34618360,49.1
1,1,0.1,0.05,3.576,12.538,38.8707,10.7484,37.2014,"[59, 71]",15656898,53.9,18606480,45.3,34618360,49.1
2,2,0.1,0.05,3.227,18.032,48.4555,8.3897,26.1744,"[59, 71]",15656898,53.9,18606480,45.3,34618360,49.1
3,3,0.1,0.05,2.944,23.33,56.7515,16.8093,46.3873,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
4,4,0.1,0.05,2.716,27.822,62.7877,20.412,51.672,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
5,5,0.1,0.05,2.507,32.552,67.4552,16.242,40.9037,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
6,6,0.1,0.05,2.358,35.618,70.6901,25.9056,54.9263,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
7,7,0.1,0.05,2.211,39.62,73.6293,27.508,59.5442,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
8,8,0.1,0.05,2.209,39.474,73.8031,35.6588,68.8794,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
9,9,0.1,0.05,2.044,43.32,77.1779,33.6983,65.1771,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
10,10,0.1,0.05,1.954,45.66,78.8403,32.9817,65.6549,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
11,11,0.1,0.05,1.833,49.154,80.7745,37.9777,67.9936,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
12,12,0.1,0.05,1.862,48.126,80.225,46.6859,78.2245,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
13,13,0.1,0.05,1.721,51.674,82.4848,45.8897,75.7763,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
14,14,0.1,0.05,1.648,53.7,83.5518,46.8451,77.4383,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
15,15,0.1,0.05,1.968,45.604,77.4696,37.3806,71.1983,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
16,16,0.1,0.05,1.65,53.56,83.5678,34.0963,62.7289,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
17,17,0.1,0.05,1.573,55.684,84.9884,40.834,72.2034,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
18,18,0.1,0.05,1.489,57.674,86.1393,50.4478,79.4884,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
19,19,0.1,0.05,2.079,41.592,75.4276,33.0812,69.2178,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
20,20,0.1,0.05,1.866,46.58,80.3269,13.7938,42.7946,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
21,21,0.1,0.05,1.925,46.058,78.4507,39.1322,71.9546,"[58, 71]",15652801,54.0,18587112,45.3,34593916,49.1
