,cr_layerwise,ranks,device,time forward train,time backward train,time forward test,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,baseline,"[None, None, None, None]",cpu,1.2946,2.9647,1.2649,573000,0.0,573000,0.0,1146000,0.0
1,0.0,"[305, 187, 74, None]",cpu,4.3394,10.4148,1.6302,217566,62.0,1543050,-169.3,2248340,-96.2
2,0.05,"[289, 177, 71, None]",cpu,4.1232,9.8606,1.5745,206237,64.0,1442825,-151.8,2104792,-83.7
3,0.1,"[274, 168, 67, None]",cpu,3.9161,9.2878,1.4581,195609,65.9,1350399,-135.7,1972204,-72.1
4,0.15,"[259, 159, 63, None]",cpu,3.8876,10.0153,1.4553,184981,67.7,1259905,-119.9,1842192,-60.7
5,0.2,"[244, 149, 59, None]",cpu,3.548,8.9455,1.3126,174052,69.6,1168846,-104.0,1711160,-49.3
6,0.25,"[228, 140, 56, None]",cpu,3.2973,8.5486,1.5976,163024,71.5,1079464,-88.4,1582336,-38.1
7,0.3,"[213, 131, 52, None]",cpu,3.2592,7.7273,1.1848,152396,73.4,994886,-73.6,1460212,-27.4
8,0.35,"[198, 121, 48, None]",cpu,2.9796,6.8366,1.0805,141467,75.3,909911,-58.8,1337292,-16.7
9,0.4,"[183, 112, 44, None]",cpu,2.8592,6.3252,1.0329,130839,77.2,829251,-44.7,1220392,-6.5
10,0.45,"[167, 102, 41, None]",cpu,2.7298,5.917,0.9733,119510,79.1,745778,-30.2,1099180,4.1
11,0.5,"[152, 93, 37, None]",cpu,2.4195,5.3135,0.8577,108882,81.0,669102,-16.8,987592,13.8
12,0.55,"[137, 84, 33, None]",cpu,2.2894,5.3202,0.8086,98254,82.9,594358,-3.7,878580,23.3
13,0.6,"[122, 74, 29, None]",cpu,2.0747,4.6864,0.7269,87325,84.8,519499,9.3,769148,32.9
14,0.65,"[106, 65, 26, None]",cpu,1.9419,4.2776,0.6782,76297,86.7,446419,22.1,662060,42.2
15,0.7,"[91, 56, 22, None]",cpu,1.7598,3.6965,0.6207,65669,88.5,377591,34.1,560936,51.1
16,0.75,"[76, 46, 18, None]",cpu,1.5116,3.6201,0.5187,54740,90.4,308816,46.1,459616,59.9
17,0.8,"[61, 37, 14, None]",cpu,1.4226,2.9197,0.4891,44112,92.3,243906,57.4,363716,68.3
18,0.85,"[45, 28, 11, None]",cpu,1.1426,2.4521,0.3868,33084,94.2,178950,68.8,267460,76.7
19,0.9,"[30, 18, 7, None]",cpu,0.9812,2.1042,0.3232,22155,96.1,116259,79.7,174252,84.8
20,0.95,"[15, 9, 3, None]",cpu,0.8211,1.8011,0.2676,11527,98.0,57265,90.0,86240,92.5
21,baseline,"[None, None, None, None]",cpu,1.2758,2.9243,1.261,573000,0.0,573000,0.0,1146000,0.0
22,0.0,"[305, 187, 74, None]",cpu,4.3177,10.5964,1.6544,217566,62.0,1543050,-169.3,2248340,-96.2
23,0.05,"[289, 177, 71, None]",cpu,4.1342,9.26,1.5568,206237,64.0,1442825,-151.8,2104792,-83.7
24,0.1,"[274, 168, 67, None]",cpu,3.8775,8.7812,1.4552,195609,65.9,1350399,-135.7,1972204,-72.1
25,0.15,"[259, 159, 63, None]",cpu,3.874,9.2306,1.4595,184981,67.7,1259905,-119.9,1842192,-60.7
26,0.2,"[244, 149, 59, None]",cpu,3.54,8.7886,1.3061,174052,69.6,1168846,-104.0,1711160,-49.3
27,0.25,"[228, 140, 56, None]",cpu,3.3176,7.9455,1.2159,163024,71.5,1079464,-88.4,1582336,-38.1
28,0.3,"[213, 131, 52, None]",cpu,3.2644,7.9989,1.1876,152396,73.4,994886,-73.6,1460212,-27.4
29,0.35,"[198, 121, 48, None]",cpu,2.9763,7.2523,1.0779,141467,75.3,909911,-58.8,1337292,-16.7
30,0.4,"[183, 112, 44, None]",cpu,2.8488,6.609,1.0288,130839,77.2,829251,-44.7,1220392,-6.5
31,0.45,"[167, 102, 41, None]",cpu,2.7263,6.347,0.9882,119510,79.1,745778,-30.2,1099180,4.1
32,0.5,"[152, 93, 37, None]",cpu,3.2844,6.366,0.8549,108882,81.0,669102,-16.8,987592,13.8
33,0.55,"[137, 84, 33, None]",cpu,2.2957,5.4095,0.8111,98254,82.9,594358,-3.7,878580,23.3
34,0.6,"[122, 74, 29, None]",cpu,2.0568,5.2308,0.7255,87325,84.8,519499,9.3,769148,32.9
35,0.65,"[106, 65, 26, None]",cpu,1.9414,4.2464,0.6768,76297,86.7,446419,22.1,662060,42.2
36,0.7,"[91, 56, 22, None]",cpu,1.7637,3.743,0.6179,65669,88.5,377591,34.1,560936,51.1
37,0.75,"[76, 46, 18, None]",cpu,1.5297,3.1893,0.5211,54740,90.4,308816,46.1,459616,59.9
38,0.8,"[61, 37, 14, None]",cpu,1.4078,2.9877,0.4919,44112,92.3,243906,57.4,363716,68.3
39,0.85,"[45, 28, 11, None]",cpu,1.1407,2.428,0.3821,33084,94.2,178950,68.8,267460,76.7
40,0.9,"[30, 18, 7, None]",cpu,0.977,2.1024,0.3212,22155,96.1,116259,79.7,174252,84.8
41,0.95,"[15, 9, 3, None]",cpu,0.8133,1.803,0.2708,11527,98.0,57265,90.0,86240,92.5
42,baseline,"[None, None, None, None]",cpu,1.2777,2.9423,1.2746,573000,0.0,573000,0.0,1146000,0.0
43,0.0,"[305, 187, 74, None]",cpu,4.3397,10.3274,1.6268,217566,62.0,1543050,-169.3,2248340,-96.2
44,0.05,"[289, 177, 71, None]",cpu,4.1297,9.8326,1.5681,206237,64.0,1442825,-151.8,2104792,-83.7
45,0.1,"[274, 168, 67, None]",cpu,3.883,8.7913,1.4641,195609,65.9,1350399,-135.7,1972204,-72.1
46,0.15,"[259, 159, 63, None]",cpu,3.88,9.1478,1.4518,184981,67.7,1259905,-119.9,1842192,-60.7
47,0.2,"[244, 149, 59, None]",cpu,3.5559,8.4791,1.3033,174052,69.6,1168846,-104.0,1711160,-49.3
48,0.25,"[228, 140, 56, None]",cpu,3.2674,8.3486,1.222,163024,71.5,1079464,-88.4,1582336,-38.1
49,0.3,"[213, 131, 52, None]",cpu,3.2324,7.8968,1.1764,152396,73.4,994886,-73.6,1460212,-27.4
50,0.35,"[198, 121, 48, None]",cpu,2.9725,7.154,1.0702,141467,75.3,909911,-58.8,1337292,-16.7
51,0.4,"[183, 112, 44, None]",cpu,2.848,7.3691,1.0252,130839,77.2,829251,-44.7,1220392,-6.5
52,0.45,"[167, 102, 41, None]",cpu,2.7181,6.5159,0.9742,119510,79.1,745778,-30.2,1099180,4.1
53,0.5,"[152, 93, 37, None]",cpu,2.403,5.3716,0.8443,108882,81.0,669102,-16.8,987592,13.8
54,0.55,"[137, 84, 33, None]",cpu,2.3029,5.2104,0.8079,98254,82.9,594358,-3.7,878580,23.3
55,0.6,"[122, 74, 29, None]",cpu,2.0566,4.8,0.723,87325,84.8,519499,9.3,769148,32.9
56,0.65,"[106, 65, 26, None]",cpu,1.9342,4.3701,0.6784,76297,86.7,446419,22.1,662060,42.2
57,0.7,"[91, 56, 22, None]",cpu,1.7773,3.8323,0.6109,65669,88.5,377591,34.1,560936,51.1
58,0.75,"[76, 46, 18, None]",cpu,1.5198,3.8502,0.6802,54740,90.4,308816,46.1,459616,59.9
59,0.8,"[61, 37, 14, None]",cpu,1.4225,2.8771,0.4988,44112,92.3,243906,57.4,363716,68.3
60,0.85,"[45, 28, 11, None]",cpu,1.162,2.4621,0.4026,33084,94.2,178950,68.8,267460,76.7
61,0.9,"[30, 18, 7, None]",cpu,0.9924,2.0808,0.3252,22155,96.1,116259,79.7,174252,84.8
62,0.95,"[15, 9, 3, None]",cpu,0.8186,1.8076,0.2699,11527,98.0,57265,90.0,86240,92.5
63,baseline,"[None, None, None, None]",cpu,1.2837,2.9525,1.2787,573000,0.0,573000,0.0,1146000,0.0
64,0.0,"[305, 187, 74, None]",cpu,4.3368,10.5703,1.6455,217566,62.0,1543050,-169.3,2248340,-96.2
65,0.05,"[289, 177, 71, None]",cpu,4.1539,9.5474,1.5681,206237,64.0,1442825,-151.8,2104792,-83.7
66,0.1,"[274, 168, 67, None]",cpu,3.8978,9.1631,1.471,195609,65.9,1350399,-135.7,1972204,-72.1
67,0.15,"[259, 159, 63, None]",cpu,3.8695,8.3804,1.4503,184981,67.7,1259905,-119.9,1842192,-60.7
68,0.2,"[244, 149, 59, None]",cpu,3.5197,8.0313,1.311,174052,69.6,1168846,-104.0,1711160,-49.3
69,0.25,"[228, 140, 56, None]",cpu,3.3022,8.0208,1.2176,163024,71.5,1079464,-88.4,1582336,-38.1
70,0.3,"[213, 131, 52, None]",cpu,3.2457,7.2204,1.693,152396,73.4,994886,-73.6,1460212,-27.4
71,0.35,"[198, 121, 48, None]",cpu,3.4211,6.8631,1.0873,141467,75.3,909911,-58.8,1337292,-16.7
72,0.4,"[183, 112, 44, None]",cpu,2.8798,6.6237,1.0361,130839,77.2,829251,-44.7,1220392,-6.5
73,0.45,"[167, 102, 41, None]",cpu,2.7556,6.5708,0.9944,119510,79.1,745778,-30.2,1099180,4.1
74,0.5,"[152, 93, 37, None]",cpu,2.4328,6.214,0.8643,108882,81.0,669102,-16.8,987592,13.8
75,0.55,"[137, 84, 33, None]",cpu,2.2993,4.9814,0.8121,98254,82.9,594358,-3.7,878580,23.3
76,0.6,"[122, 74, 29, None]",cpu,2.0732,4.8317,0.7289,87325,84.8,519499,9.3,769148,32.9
77,0.65,"[106, 65, 26, None]",cpu,1.964,4.1636,0.6785,76297,86.7,446419,22.1,662060,42.2
78,0.7,"[91, 56, 22, None]",cpu,1.7754,3.7319,0.6196,65669,88.5,377591,34.1,560936,51.1
79,0.75,"[76, 46, 18, None]",cpu,1.5224,3.2176,0.5165,54740,90.4,308816,46.1,459616,59.9
80,0.8,"[61, 37, 14, None]",cpu,1.4302,3.0005,0.4907,44112,92.3,243906,57.4,363716,68.3
81,0.85,"[45, 28, 11, None]",cpu,1.1514,2.4064,0.384,33084,94.2,178950,68.8,267460,76.7
82,0.9,"[30, 18, 7, None]",cpu,0.981,2.1009,0.3335,22155,96.1,116259,79.7,174252,84.8
83,0.95,"[15, 9, 3, None]",cpu,0.8266,1.7958,0.2718,11527,98.0,57265,90.0,86240,92.5
84,baseline,"[None, None, None, None]",cpu,1.2759,2.932,1.285,573000,0.0,573000,0.0,1146000,0.0
85,0.0,"[305, 187, 74, None]",cpu,4.3226,9.794,1.6332,217566,62.0,1543050,-169.3,2248340,-96.2
86,0.05,"[289, 177, 71, None]",cpu,4.1482,10.6269,1.5675,206237,64.0,1442825,-151.8,2104792,-83.7
87,0.1,"[274, 168, 67, None]",cpu,3.9015,9.2832,1.4583,195609,65.9,1350399,-135.7,1972204,-72.1
88,0.15,"[259, 159, 63, None]",cpu,3.8756,9.2653,1.4507,184981,67.7,1259905,-119.9,1842192,-60.7
89,0.2,"[244, 149, 59, None]",cpu,3.5424,8.4324,1.309,174052,69.6,1168846,-104.0,1711160,-49.3
90,0.25,"[228, 140, 56, None]",cpu,3.2913,8.2453,1.2072,163024,71.5,1079464,-88.4,1582336,-38.1
91,0.3,"[213, 131, 52, None]",cpu,3.2199,8.345,1.1856,152396,73.4,994886,-73.6,1460212,-27.4
92,0.35,"[198, 121, 48, None]",cpu,2.9604,7.16,1.0746,141467,75.3,909911,-58.8,1337292,-16.7
93,0.4,"[183, 112, 44, None]",cpu,2.8489,6.5814,1.0286,130839,77.2,829251,-44.7,1220392,-6.5
94,0.45,"[167, 102, 41, None]",cpu,2.7036,6.7243,0.9683,119510,79.1,745778,-30.2,1099180,4.1
95,0.5,"[152, 93, 37, None]",cpu,2.3986,6.0276,1.2131,108882,81.0,669102,-16.8,987592,13.8
96,0.55,"[137, 84, 33, None]",cpu,2.2971,5.6625,0.8118,98254,82.9,594358,-3.7,878580,23.3
97,0.6,"[122, 74, 29, None]",cpu,2.0583,4.9862,0.724,87325,84.8,519499,9.3,769148,32.9
98,0.65,"[106, 65, 26, None]",cpu,1.9425,4.3994,0.6698,76297,86.7,446419,22.1,662060,42.2
99,0.7,"[91, 56, 22, None]",cpu,1.7511,3.6876,0.6161,65669,88.5,377591,34.1,560936,51.1
100,0.75,"[76, 46, 18, None]",cpu,1.5154,3.1742,0.5176,54740,90.4,308816,46.1,459616,59.9
101,0.8,"[61, 37, 14, None]",cpu,1.4081,2.9854,0.5067,44112,92.3,243906,57.4,363716,68.3
